,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,机制,适用标准（EN18031）,技术要求项目,requirement技术要求,项目需被测试的条件,评估对象,概念评估,功能完整性评估,功能充分性评估,涉及的工具,,,,,,,,,,
,,-1、-2、-3,"[AUM-2(-1)]Appropriate authentication mechanisms
适当的认证机制（单因子认证）","Authentication mechanisms that are required per AUM-1-1 (network interface)or AUM-1-2 (userinterface) or AUM-1-3(EN18031-3) (machineinterface) shall verify an entity's claim based on examining evidence from at least one element of thecategories knowledge, possession and inherence (one factor authentication).
AUM-1-1(网络接口)或AUM-1-2(用户接口)或AUM-1-3(EN18031-3)(机器接口)所要求的身份认证机制，应基于对知识、持有和固有特征中的至少一种要素（单因素认证）所提供的证据进行检查，来验证实体的身份声明。",设备存在通过网络接口或用户接口或机器接口(EN18031-3)访问资产的AUM机制,[AUM-1-1]和[AUM-1-2]和(AUM-1-3)要求所需的每个身份认证机制,,无,,,,,,,,,,,,
,,-2、-3,"[AUM-2-2] Appropriate authentication mechanisms (Two factor authentication)
适当的认证机制（双因子认证）","【EN18031-2】
对于每个由访问控制机制保护的安全和隐私资产，应通过用户接口实施身份认证机制，以管理实体的访问权限。
已实施的身份认证机制用于访问安全和隐私资产，包括：
- 读取机密个人信息、机密隐私功能配置或机密安全参数； 
- 修改敏感个人信息、敏感隐私功能配置或敏感安全参数； 
- 执行隐私功能或安全功能。 
身份认证机制应通过知识（Knowledge）、持有（Possession）或固有特征（Inherence）类别中的认证因子对实体身份进行验证。当访问受保护资产需要身份认证时，所实施的认证机制应确保仅授权实体能够访问或修改相应的安全和隐私资产。
以下情况可作为例外：
- 设备目标运行环境中的物理措施或逻辑措施已经限制了访问权限，仅允许授权实体进行访问；或 
- 为实现设备预期功能，或由于法律要求，对个人信息、隐私功能或隐私功能配置提供无需身份认证的只读访问。

【EN18031-3】
针对AUM-1-1（网络接口）或AUM-1-2（用户接口）中要求且用于通过网络接口上的用户界面访问金融功能的每种认证机制，该等网络接口用于：
- 转账
- 处理货币资产或
- 处理虚拟货币。
身份认证机制应通过知识（Knowledge）、持有（Possession）或固有特征（Inherence）类别中的认证因子对实体身份进行验证。当访问受保护资产需要身份认证时，所实施的认证机制应确保仅授权实体能够访问或修改相应的安全和隐私资产。",设备主预期功能是处理特殊类别个人信息或代表用户发起或授权货币转账,"【EN18031-2】
each access to personal information of special categories via user interfaces over network interface
通过网络接口上用户接口对特殊类别个人信息的每次访问

【EN18031-3】
each authentication mechanism protecting monetary transfers
保护货币转账的每个身份认证机制",,验证所有对特殊类别个人信息的访问路径是否记录在[E.Info.AUM-2-2]中,,,,,,,,,,,,
,,-1、-2、-3,"[AUM-3]Authenticator validation
认证器验证","Authentication mechanisms that are required per AUM-1-1 (network interface)or AUM-1-2 (userinterface) or (AUM-1-3(machineinterface)) shall validate all relevant properties of the used authenticators, dependent on the availableinformation in the operational environment of use.
对于每个AUM-1-1(网络接口)或AUM-1-2(用户接口)或AUM-1-3(机器接口)所需的身份认证机制，应依托使用的操作环境中的可用信息认证其所使用的认证器的所有相关属性。",设备存在AUM-1所需的身份认证机制,[AUM-1-1]或[AUM-1-2]或[AUM-1-3](EN18031-3)要求所需的每个身份认证机制中的认证器,,无,,,,,,,,,,,,
,,-1、-2、-3,"[AUM-4]Changing authenticators
更改身份认证器","Authentication mechanisms that are required per AUM-1-1 or AUM-1-2 or AUM-1-3 shall allow for changing theauthenticator except for authenticators where conflicting security goals do not allow for a change.
除非更改认证器与安全目标相冲突从而不允许认证器改变，否则每个AUM-1-1或AUM-1-2所需的认证机制都应被允许更改认证器。",设备存在AUM-1所需的身份认证机制,[AUM-1-1]或[AUM-1-2]或[AUM-1-3](EN18031-3)要求所需的每个身份认证机制中的认证器,,"无
",,,,,,,,,,,,
,,-1、-2、-3,"[AUM-5]Password strength
[AUM-5-1] Password strength (Factory default passwords)
口令强度（出厂默认口令）","If factory default passwords are used by an authentication mechanism that is required per AUM-1-1 orAUM-1-2, they shall:
-be unique per equipment; and
-follow best practice concerning strength;
or
-be enforced to be changed by the user before or on first use.
如果按照 AUM-1-1 或 AUM-1-2 要求的身份认证机制使用出厂默认口令，则口令应：
—	对每台设备都是唯一的；且
—	遵循有关口令强度的最佳实践；
或
—	在用户首次使用前或首次使用时强制更改口令。",设备的AUM认证机制使用出厂默认口令,[AUM-1-1]或[AUM-1-2]或[AUM-1-3](EN18031-3)要求所需的每个身份认证机制中的认证器,,无,,,,,,,,,,,,
,,-1、-2、-3,"[AUM-5-2] Password strength (Non-factory default passwords)
口令强度（非出厂默认口令）","If passwords other than factory default passwords are used by an authentication mechanism required:
-be enforced to be set by the user before or on first use and before the equipment is logically connected to a network; or
-be defined by an authorized entity within a network where access is limited to authorise dentities; or
-be generated by the equipment using best practice concerning strength and only communicated to an authorized entity within a network where access is limited to authorise dentities.
如果AUM-1-1或AUM-1-2所需的身份认证机制使用了出厂默认口令以外的口令，则口令应：
—	在用户在首次使用之前或首次使用时，以及在设备逻辑连接到网络之前强制用户设置；或
—	由网络内的授权实体定义，且该网络仅限于授权实体访问；或
—	由设备使用有关口令强度的最佳实践生成，并且口令仅传达给网络内的授权实体，且该网络仅限于授权实体访问。",设备的AUM认证机制使用非出厂默认口令,,,验证所有非出厂默认口令是否记录在[E.Info.AUM-5-2]中,,,,,,,,,,,,
,,-1、-2、-3,"[AUM-6]Brute force protection
暴力破解保护","Authentication mechanisms required per AUM-1-1 or AUM-1-2 shall be resilient against brute force attacks.
AUM-1-1或AUM-1-2或AUM-1-3要求所需的每个身份认证机制应具有抵御暴力破解的能力。",设备存在AUM-1所需的认证机制,设备存在AUM-1所需的认证机制,,"无
",,,,,,,,,,,,
,"SUM
安全更新机制",-1、-2、-3,"[SUM-1]Applicability of update mechanisms
更新机制的适用性","The equipment shall provide at least one update mechanism for updating software, including firmware affecting security assets and/or network assets, except for software:
-where functional safety implications do not allow updatability; or
-which is immutable; or
-where alternative measures protect the affected security assets and/or network assets duringthe entire lifecycle of the equipment.
设备应至少提供一种更新机制，用于更新影响安全资产和/或网络资产的软件（包括固件）。影响安全资产和/或网络资产的软件中的以下软件除外：
—	由于功能安全影响，不允许可更新的软件；
—	不可变的软件；
—	在整个设备生命周期内，具有替代措施来保护受影响安全资产和/或网络资产的软件。",无/设备存在软件,每个影响资产的软件部分，可以通过固件、系统应用、业务应用等进行软件部分划分，每部分进行评估,,无,,,,,,,,,,,,
,,-1、-2、-3,"[SUM-2]Secure updates
安全更新","Each update mechanism as required per SUM-1 shall only install software whose integrity and
authenticity are yalid at the time of the installation.
根据SUM-1 要求，每个更新机制只能安装在安装时完整性和真实性有效的软件。",设备存在软件更新机制,"For each update mechanism for updating software that affects security or network assets (including firmware)
[SUM-1]要求所需的每个软件更新机制",,无,,,,,,,,,,,,
,,-1、-2、-3,"[SUM-3]Automated updates
自动更新","Each update mechanism that is required per SUM-1 shall be capable ofupdating the software:without human intervention at the equipment; or
via scheduling the installation of an update under human approval; or
via triggering the installation of an update under human approval or supervision where thereis the need to prevent any unexpected damage in the operational environment.
按照SUM-1要求的每个更新机制都应能够更新软件，且符合以下任意情形：
—	无需人工在设备上进行干预；或
—	在获得人工批准的情况下，按计划定时更新；或
—	在需要防止对运行环境造成任何意外损害的情况下，在人工批准或监督下触发更新。",设备存在软件更新机制,[SUM-1]要求所需的每个软件更新机制,,无,,,,,,,,,,,,
,"SSM
安全存储机制",-1、-2、-3,"[SSM-1]Applicability of secure storage mechanisms
安全存储机制的适用性","The equipment shall always use secure storage mechanisms for protecting the security assets and network assets persistently stored on the equipment, except for persistently stored security assets or network assets where:
- the physical or logical measures in the target environment ensures the security asset or network asset stored on the equipment accessibility is limited to authorized entities.
设备应使用安全存储机制来保护设备上持久存储的安全资产和网络资产，但在以下情形中持久存储的安全资产或网络资产除外：
—	目标环境中的物理或逻辑措施确保存储在设备上的安全资产或网络资产仅限授权实体可访问。",设备存在持久存储在设备上的资产,"each persistent storage of the network assetor security asset on the equipment
持久存储在设备上的资产的各类存储方式",,验证所有持久存储在设备上的安全资产和网络资产都已被记录在[E.Info.SSM-1.SecurityAsset]或[E.Info.SSM-1.NetworkAsset]中,,,,,,,,,,,,
,,-1、-2、-3,"[SSM-2] Appropriate integrity protection for secure storage mechanisms
安全存储机制的适当完整性保护","Each secure storage mechanism that is required per SSM-1 shall protect the integrity of security assets and network assets it stores persistently.
根据 SSM-1 要求的每一个安全存储机制，都应当保护其所持久存储的安全资产和网络资产的完整性。",设备存在安全存储机制,"each secure storage mechanism
[SSM-1]要求所需的安全存储机制",,无,,,,,,,,,,,,
,,-1、-2、-3,"[SSM-3] Appropriate confidentiality protection for secure storage mechanisms
安全存储机制的适当机密性保护","Each secure storage mechanism that is required per SSM-1 shall protect the secrecysecurity parameter and confidential network function configuration it stores persistently.
根据 SSM-1 要求的每个安全存储机制，都应当保护其所持久存储的机密安全参数和机密网络功能配置的机密性。",设备存在安全存储机制，且存在持久存储的机密资产,"each secure storage mechanism and each stored confidential security parameter and confidential network function configuration
[SSM-1]要求所需的安全存储机制和持久存储的机密资产",,验证持久存储的所有机密性安全参数和机密性网络功能配置都已被记录在[E.Info.SSM-3.SSM.Asset],,,,,,,,,,,,
,"SCM
安全通信机制",-1、-2、-3,"[SCM-1]Applicability of secure communication mechanisms
安全通信机制的适用性","【EN18031-1】
The equipment shall always use secure communication mechanisms for communicating security assetsand network assets with other entities via network interfaces, except for:
- communicating security assets or network assets whose transfer is protected by physical orogical measures in the targeted environment that ensure that network assets or securityassets are not exposed to unauthorised entities, or
- communicating security assets or network assets whose exposure is part of establishing ormanaging a connection combined with additional measures to authenticate the connection or trust relation
设备通过网络接口与其他实体通信安全资产和网络资产时，应始终使用安全通信机制。以下情况除外：
—	通信的安全资产或网络资产，其传输已通过目标环境中的物理或逻辑措施得到保护，从而确保网络资产或安全资产不会暴露给未经授权的实体；或
—	通信的安全资产或网络资产，其暴露是建立或管理连接过程的一部分，并且结合了用于对连接或信任关系进行认证的附加措施。
【EN18031-2】
The equipment shall always use secure communication mechanisms for communicating security assets
and privacy assets with other entities via network interfaces, except for: 
— communicating security assets or privacy assets whose transfer is protected by physical or logical measures in the targeted environment that ensure that security assets or privacy assets are not exposed to unauthorised entities; or 
— communicating security assets whose exposure is part of establishing or managing a connection or trust
relation.
设备应始终采用安全的通信机制，通过网络接口与其他实体进行安全资产及隐私资产的通信，但以下情况除外：
- 通信涉及的安全资产或隐私资产，其传输已在目标环境中通过物理或逻辑措施得到保护，从而确保这些安全资产或隐私资产不会暴露给未经授权的实体；或
- 通信涉及的安全资产，其暴露过程是建立或管理连接的一部分，并结合了额外的措施以对连接或信任关系进行身份验证。
【EN18031-3】
The equipment shall always use secure communication mechanisms for communicating security assets 
and financial assets with other entities via network interfaces.
设备应始终采用安全通信机制，通过网络接口将安全资产与金融资产与其他实体进行通信。",设备存在在网络接口上传输的资产,"each network assets or security assets via network interface to communicate
资产通过网络接口的每次传输",1、EN18031-3无豁免方式。,验证所有被网络接口传输的安全和网络资产都已被记录在[E.Info.SCM-1.SecurityAsset]和[E.Info.SCM-1.NetworkAsset],,,,,,,,,,,,
,,-1、-2、-3,"[SCM-2] Appropriate integrity and authenticity protection for secure communicationmechanisms
安全通信机制的适当完整性和真实性保护","Each secure communication mechanism that is required per SCM-1 shall apply best practices to protect the integrity and authenticity of the security assets and network assets communicated, except for communicating security assets or network assets where:
-a deviation from best practice for integrity or authenticity protection is required for interoperability reasons.    
根据SCM-1要求而使用的每个安全通信机制，都应采用最佳实践来保护所通信的安全资产和网络资产的完整性和真实性，但以下情况除外：
—	出于互操作性原因，必须偏离完整性或真实性保护的最佳实践来进行安全资产或网络资产的通信。",设备存在安全通信机制,"each secure communication mechanism
SCM-1要求所需的安全通信机制",1、EN18031-3无豁免方式。,无,,,,,,,,,,,,
,,-1、-2、-3,"[SCM-3] Appropriate confidentiality protection for secure communication mechanisms
安全通信机制的适当机密性保护","Each secure communication mechanism that is required per SCM-1 shall apply best practices to protectthe confidentiality of communicated network assets and security assets where confidentiality protectionof those is needed, except for communicating security assets or network assets where:
-a deviation from best practice for protecting confidentiality is required for interoperabilityreasons.
根据 SCM-1 要求使用的每种安全通信机制，在需要对所通信的网络资产和安全资产提供机密性保护时，应采用最佳实践来保护其机密性，以下情况除外：
—	出于互操作性原因， 必须偏离用于机密性保护的最佳实践。",设备存在安全通信机制，且传输的资产有机密资产,"For each communication of security assets or network assets where confidentiality protection is needed
SCM-1要求所需的安全通信机制",1、EN18031-3无豁免方式。,无,,,,,,,,,,,,
,,-1、-2、-3,"[SCM-4]Appropriate replay protection for secure communication mechanisms
安全通信机制的适当重放保护","Each secure communication mechanism that is required per SCM-1 shall apply best practices to protectthe security assets and the network assets communicated against replay attacks,except forcommunicating security assets or network assets where:
-a duplicate transfer does not impose a threat of a replay attack; or
-a deviation from best practice for replay protection is required for interoperability reasons.
按照SCM-1要求的每一种安全通信机制，均应采用最佳实践来保护所传输的安全资产和网络免受重放攻击，以下情况除外：
—	重复传输不会构成重放攻击威胁；或
—	出于互操作性的原因，必须偏离重放防护的最佳实践。",,SCM-1要求所需的安全通信机制,1、EN18031-3对于—	出于互操作性的原因，必须偏离重放防护的最佳实践不进行豁免。,无,,,,,,,,,,,,
,"RLM
弹性机制",-1,"[RLM.1] Applicability and appropriateness of resilience mechanisms
弹性机制的适用性和适当性","【EN18031-1】
The equipment shall use resilience mechanisms to mitigate the effects of Denial of Service (DoS) Attacks on the network interfaces and return to a defined state after the attack except for:
- network interfaces that are only used in a local network that do not interoperate with othernetworks; or
- network interfaces where other devices in the network provide sufficient protection against DoS attacks and loss of essential functions for network operations.
设备应使用弹性机制来减轻拒绝服务(DoS)攻击对网络接口的影响，并在攻击后能恢复到预定义的状态，但以下情况除外：
—	仅用于本地且不与其他网络互通的网络接口；或者
—	网络接口所在网络中的其他设备已针对DoS攻击和网络运行基本功能丧失提供了充分保护。",无/设备存在网络接口,"each  network interfaces 
每个网络接口",,"从功能上评估是否存在未在 [E.Info.RLM-1.Networklnterface] 中列出的网络接口。
从功能上评估是否实施了[E.lnfo.RLM-1.RLM]中未记录的弹性机制。",,,,,,,,,,,,
,"NMM
网络监控机制",-1,"[NMM-1]Applicability and appropriateness of network monitoring mechanisms
网络监控机制的适用性和适当性","If the equipment is a network equipment, the equipment shall provide network monitoring mechanism(s) to detect for indicators of DoS attacks in the network traffic between networks which it processes.
如果设备是网络设备，则该设备应提供一种或多种网络监控机制，用于监控其处理的网络之间的网络流量中的DoS攻击指标。",设备是网络设备，但若不是仍然需要决策树评估为不适用,"each network monitoring mechanism of the network equipment 
设备上的网络监控机制",,无,,,,,,,,,,,,
,"TCM
流量控制机制",-1,"[TCM-1]Applicability of and appropriate traffic control mechanisms
流量控制机制的适用性和适当性","If the equipment is a network equipment, the equipment shall provide network traffic control mechanism(s).
如果该设备是网络设备，则该设备应当提供网络流量控制机制。",设备是网络设备，但若不是仍然需要决策树评估为不适用,"each network traffic control mechanism of the network equipment 
设备上的流量控制机制",,无,,,,,,,,,,,,
,"CCK
机密秘钥",-1、-2、-3,"[CCK-1]Appropriate CCKs
适当的机密密钥","Confidential cryptographic keys that are preinstalled or generated by the equipment during its use, shall support a minimum security strength of 112-bits, except for:
-CCKs that are solely used by a specific security mechanism, where a deviation is identified and justified under the terms of sections ACM or AUM or SCM or SUM or SSM.
设备在使用过程中预置或生成的机密密钥应支持不低于 112 位的最小安全强度，但以下情况除外：
—	仅由某一特定安全机制使用的机密密钥（CCK），且其偏离已依据 ACM、AUM、SCM、SUM 或 SSM 章节的条款进行了识别和论证。",设备在使用过程中存在预置或生成的机密密钥,"the strength of  each confidential cryptographic key (preinstalled or generated during usage)
CCK 安全强度",,验证由设备预置或在设备使用过程中生成，但未记录在 [E.Info.CCK-1.CCK] 中的机密密钥,,,,,,,,,,,,
,,-1、-2、-3,"[CCK-2]CCK generation mechanisms
CCK生成机制","The generation of confidential cryptographic keys shall adhere to best practice cryptography, except for:the generation of CCKs for a specific security mechanism, where a deviation is identified andjustified under the terms of sections ACM or AUM or SCM or SUM or SSM.
机密密钥（CCK）的生成应遵循密码学最佳实践，但以下情况除外：
—	针对某一特定安全机制生成 CCK，且已根据 ACM、AUM、SCM、SUM 或 SSM 章节的条款识别并论证了偏离的合理性。",设备在使用过程中存在预置或生成的机密密钥,"each generation mechanism of confidential cryptographic keys on the equipment
每个CCK的生成机制",,"【EN18031-1】
评估设备上所有机密密钥的生成机制是否记录在[E.Info.CCK-2.Generation]中。

【EN18031-2】
验证所有CCK生成机制是否记录在[E.Info.CCK-2]中

【EN18031-3】
验证所有CCK生成机制是否记录在[E.Info.CCK-2]中",,,,,,,,,,,,
